Labels,EmScan3,,,,,,,
Type,Emission Scan,,,,,,,
Comment,,,,,,,,
Start,470,,,,,,,
Stop,700,,,,,,,
Step,1,,,,,,,
Fixed/Offset,455,,,,,,,
Xaxis,Wavelength,,,,,,,
Yaxis,Counts,,,,,,,
Scan Corr. by File,TRUE,,,,,,,
Corr. by Ref. Det.,TRUE,,,,,,,
Fixed/Offset Corr. by File,FALSE,,,,,,,
Repeats,1,,,,,,,
Dwell Time,0.25,,,,,,,
Lamp,Xenon,,,,,,,
Temp,0,,,,,,,
Scan Polariser,None,,,,,,,
Scan Slit,1.4995272,,,,,,,
Fixed/Offset Polariser,None,,,,,,,
Fixed/Offset Slit,1.4995272,,,,,,,
Detector,Detector 1,,,,,,,
,,,,,,,,
470,1.00E+04,,,,,,,
471,1.08E+04,,,,,,,
472,1.24E+04,,,,,,,
473,1.42E+04,,,,,,,
474,1.61E+04,,,,,,,
475,1.80E+04,,,,,,,
476,2.05E+04,,,,,,,
477,2.30E+04,,,,,,,
478,2.51E+04,,,,,,,
479,2.84E+04,,,,,,,
480,3.13E+04,,,,,,,
481,3.43E+04,,,,,,,
482,3.71E+04,,,,,,,
483,4.07E+04,,,,,,,
484,4.36E+04,,,,,,,
485,4.68E+04,,,,,,,
486,4.98E+04,,,,,,,
487,5.37E+04,,,,,,,
488,5.66E+04,,,,,,,
489,5.88E+04,,,,,,,
490,6.18E+04,,,,,,,
491,6.52E+04,,,,,,,
492,6.80E+04,,,,,,,
493,7.04E+04,,,,,,,
494,7.22E+04,,,,,,,
495,7.45E+04,,,,,,,
496,7.67E+04,,,,,,,
497,7.86E+04,,,,,,,
498,8.10E+04,,,,,,,
499,8.23E+04,,,,,,,
500,8.39E+04,,,,,,,
501,8.58E+04,,,,,,,
502,8.75E+04,,,,,,,
503,8.77E+04,,,,,,,
504,9.00E+04,,,,,,,
505,9.03E+04,,,,,,,
506,9.18E+04,,,,,,,
507,9.22E+04,,,,,,,
508,9.32E+04,,,,,,,
509,9.50E+04,,,,,,,
510,9.49E+04,,,,,,,
511,9.58E+04,,,,,,,
512,9.64E+04,,,,,,,
513,9.76E+04,,,,,,,
514,9.72E+04,,,,,,,
515,9.80E+04,,,,,,,
516,9.85E+04,,,,,,,
517,9.79E+04,,,,,,,
518,9.78E+04,,,,,,,
519,9.77E+04,,,,,,,
520,9.80E+04,,,,,,,
521,9.72E+04,,,,,,,
522,9.67E+04,,,,,,,
523,9.67E+04,,,,,,,
524,9.75E+04,,,,,,,
525,9.64E+04,,,,,,,
526,9.56E+04,,,,,,,
527,9.60E+04,,,,,,,
528,9.52E+04,,,,,,,
529,9.32E+04,,,,,,,
530,9.31E+04,,,,,,,
531,9.16E+04,,,,,,,
532,9.10E+04,,,,,,,
533,8.97E+04,,,,,,,
534,8.80E+04,,,,,,,
535,8.70E+04,,,,,,,
536,8.65E+04,,,,,,,
537,8.64E+04,,,,,,,
538,8.49E+04,,,,,,,
539,8.31E+04,,,,,,,
540,8.19E+04,,,,,,,
541,8.11E+04,,,,,,,
542,7.89E+04,,,,,,,
543,7.73E+04,,,,,,,
544,7.63E+04,,,,,,,
545,7.48E+04,,,,,,,
546,7.35E+04,,,,,,,
547,7.15E+04,,,,,,,
548,7.08E+04,,,,,,,
549,6.94E+04,,,,,,,
550,6.85E+04,,,,,,,
551,6.73E+04,,,,,,,
552,6.63E+04,,,,,,,
553,6.46E+04,,,,,,,
554,6.34E+04,,,,,,,
555,6.24E+04,,,,,,,
556,6.11E+04,,,,,,,
557,6.05E+04,,,,,,,
558,5.89E+04,,,,,,,
559,5.87E+04,,,,,,,
560,5.65E+04,,,,,,,
561,5.47E+04,,,,,,,
562,5.40E+04,,,,,,,
563,5.16E+04,,,,,,,
564,5.04E+04,,,,,,,
565,4.87E+04,,,,,,,
566,4.84E+04,,,,,,,
567,4.73E+04,,,,,,,
568,4.61E+04,,,,,,,
569,4.52E+04,,,,,,,
570,4.43E+04,,,,,,,
571,4.30E+04,,,,,,,
572,4.18E+04,,,,,,,
573,4.11E+04,,,,,,,
574,3.99E+04,,,,,,,
575,3.96E+04,,,,,,,
576,3.85E+04,,,,,,,
577,3.74E+04,,,,,,,
578,3.66E+04,,,,,,,
579,3.56E+04,,,,,,,
580,3.44E+04,,,,,,,
581,3.39E+04,,,,,,,
582,3.32E+04,,,,,,,
583,3.21E+04,,,,,,,
584,3.19E+04,,,,,,,
585,3.07E+04,,,,,,,
586,3.02E+04,,,,,,,
587,2.94E+04,,,,,,,
588,2.87E+04,,,,,,,
589,2.81E+04,,,,,,,
590,2.67E+04,,,,,,,
591,2.66E+04,,,,,,,
592,2.60E+04,,,,,,,
593,2.54E+04,,,,,,,
594,2.43E+04,,,,,,,
595,2.38E+04,,,,,,,
596,2.39E+04,,,,,,,
597,2.25E+04,,,,,,,
598,2.18E+04,,,,,,,
599,2.20E+04,,,,,,,
600,2.09E+04,,,,,,,
601,2.08E+04,,,,,,,
602,2.01E+04,,,,,,,
603,1.93E+04,,,,,,,
604,1.93E+04,,,,,,,
605,1.84E+04,,,,,,,
606,1.74E+04,,,,,,,
607,1.74E+04,,,,,,,
608,1.69E+04,,,,,,,
609,1.68E+04,,,,,,,
610,1.65E+04,,,,,,,
611,1.58E+04,,,,,,,
612,1.50E+04,,,,,,,
613,1.47E+04,,,,,,,
614,1.51E+04,,,,,,,
615,1.44E+04,,,,,,,
616,1.39E+04,,,,,,,
617,1.35E+04,,,,,,,
618,1.27E+04,,,,,,,
619,1.27E+04,,,,,,,
620,1.26E+04,,,,,,,
621,1.20E+04,,,,,,,
622,1.20E+04,,,,,,,
623,1.14E+04,,,,,,,
624,1.12E+04,,,,,,,
625,1.09E+04,,,,,,,
626,1.05E+04,,,,,,,
627,1.00E+04,,,,,,,
628,9.86E+03,,,,,,,
629,9.70E+03,,,,,,,
630,9.52E+03,,,,,,,
631,9.29E+03,,,,,,,
632,8.86E+03,,,,,,,
633,8.35E+03,,,,,,,
634,8.44E+03,,,,,,,
635,8.29E+03,,,,,,,
636,7.91E+03,,,,,,,
637,7.81E+03,,,,,,,
638,7.18E+03,,,,,,,
639,7.32E+03,,,,,,,
640,6.86E+03,,,,,,,
641,6.91E+03,,,,,,,
642,6.79E+03,,,,,,,
643,6.65E+03,,,,,,,
644,6.55E+03,,,,,,,
645,6.12E+03,,,,,,,
646,6.02E+03,,,,,,,
647,5.69E+03,,,,,,,
648,5.72E+03,,,,,,,
649,5.33E+03,,,,,,,
650,5.10E+03,,,,,,,
651,4.96E+03,,,,,,,
652,5.65E+03,,,,,,,
653,4.69E+03,,,,,,,
654,4.89E+03,,,,,,,
655,4.68E+03,,,,,,,
656,4.65E+03,,,,,,,
657,4.30E+03,,,,,,,
658,4.35E+03,,,,,,,
659,4.50E+03,,,,,,,
660,5.32E+03,,,,,,,
661,5.21E+03,,,,,,,
662,5.09E+03,,,,,,,
663,4.20E+03,,,,,,,
664,3.82E+03,,,,,,,
665,3.95E+03,,,,,,,
666,3.58E+03,,,,,,,
667,3.52E+03,,,,,,,
668,3.30E+03,,,,,,,
669,3.39E+03,,,,,,,
670,3.39E+03,,,,,,,
671,3.21E+03,,,,,,,
672,3.08E+03,,,,,,,
673,3.07E+03,,,,,,,
674,3.10E+03,,,,,,,
675,2.94E+03,,,,,,,
676,2.58E+03,,,,,,,
677,2.80E+03,,,,,,,
678,2.54E+03,,,,,,,
679,2.54E+03,,,,,,,
680,2.33E+03,,,,,,,
681,1.88E+03,,,,,,,
682,2.06E+03,,,,,,,
683,1.97E+03,,,,,,,
684,2.04E+03,,,,,,,
685,1.87E+03,,,,,,,
686,1.94E+03,,,,,,,
687,1.75E+03,,,,,,,
688,1.79E+03,,,,,,,
689,1.71E+03,,,,,,,
690,1.67E+03,,,,,,,
691,1.59E+03,,,,,,,
692,1.44E+03,,,,,,,
693,1.47E+03,,,,,,,
694,1.72E+03,,,,,,,
695,1.20E+03,,,,,,,
696,1.19E+03,,,,,,,
697,1.41E+03,,,,,,,
698,1.26E+03,,,,,,,
699,1.30E+03,,,,,,,
700,1.12E+03,,,,,,,
