Labels,EmScan2,
Type,Emission Scan,
Comment,,
Start,460.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,445.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.25,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.4995272,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.4995272,
Detector,Detector 1,

460.00,1.99719395E+4,
461.00,2.10261348E+4,
462.00,2.29861953E+4,
463.00,2.64888301E+4,
464.00,2.97193750E+4,
465.00,3.52138008E+4,
466.00,4.15971289E+4,
467.00,4.88080039E+4,
468.00,5.61199570E+4,
469.00,6.41814023E+4,
470.00,7.46865703E+4,
471.00,8.58674922E+4,
472.00,9.87064922E+4,
473.00,1.13697516E+5,
474.00,1.29406703E+5,
475.00,1.46820563E+5,
476.00,1.63956797E+5,
477.00,1.83100734E+5,
478.00,2.02605266E+5,
479.00,2.26026703E+5,
480.00,2.49355703E+5,
481.00,2.74849438E+5,
482.00,3.03802750E+5,
483.00,3.30877188E+5,
484.00,3.55587375E+5,
485.00,3.81929594E+5,
486.00,4.10418844E+5,
487.00,4.37875188E+5,
488.00,4.63933406E+5,
489.00,4.90982031E+5,
490.00,5.15203219E+5,
491.00,5.40327875E+5,
492.00,5.63444188E+5,
493.00,5.88593875E+5,
494.00,6.10861500E+5,
495.00,6.29327688E+5,
496.00,6.46957688E+5,
497.00,6.67557563E+5,
498.00,6.86655875E+5,
499.00,7.02351813E+5,
500.00,7.15873500E+5,
501.00,7.29330063E+5,
502.00,7.35551875E+5,
503.00,7.49876250E+5,
504.00,7.60509625E+5,
505.00,7.65672063E+5,
506.00,7.75857500E+5,
507.00,7.84996063E+5,
508.00,7.94387500E+5,
509.00,8.00495563E+5,
510.00,8.05461750E+5,
511.00,8.10767625E+5,
512.00,8.21640500E+5,
513.00,8.27954938E+5,
514.00,8.33576313E+5,
515.00,8.45034250E+5,
516.00,8.49414375E+5,
517.00,8.51035625E+5,
518.00,8.54746500E+5,
519.00,8.52653438E+5,
520.00,8.51921250E+5,
521.00,8.49093688E+5,
522.00,8.46086875E+5,
523.00,8.44861500E+5,
524.00,8.39124500E+5,
525.00,8.34878875E+5,
526.00,8.32793438E+5,
527.00,8.30107750E+5,
528.00,8.27750938E+5,
529.00,8.17287688E+5,
530.00,8.06159250E+5,
531.00,7.96809438E+5,
532.00,7.86020625E+5,
533.00,7.81670063E+5,
534.00,7.74002375E+5,
535.00,7.64638313E+5,
536.00,7.50887688E+5,
537.00,7.44335250E+5,
538.00,7.34579438E+5,
539.00,7.26288563E+5,
540.00,7.20428688E+5,
541.00,7.08363750E+5,
542.00,7.01081313E+5,
543.00,6.90377250E+5,
544.00,6.81249188E+5,
545.00,6.74172625E+5,
546.00,6.66817563E+5,
547.00,6.56516250E+5,
548.00,6.45604625E+5,
549.00,6.35155250E+5,
550.00,6.19052438E+5,
551.00,6.12004250E+5,
552.00,6.01784188E+5,
553.00,5.90284250E+5,
554.00,5.79434375E+5,
555.00,5.67721688E+5,
556.00,5.57273688E+5,
557.00,5.45517688E+5,
558.00,5.36838313E+5,
559.00,5.25981125E+5,
560.00,5.13454031E+5,
561.00,5.06212031E+5,
562.00,4.95908688E+5,
563.00,4.86611844E+5,
564.00,4.77144000E+5,
565.00,4.65120219E+5,
566.00,4.55395375E+5,
567.00,4.46192469E+5,
568.00,4.35854969E+5,
569.00,4.25780063E+5,
570.00,4.18320500E+5,
571.00,4.09011688E+5,
572.00,3.99570438E+5,
573.00,3.89952156E+5,
574.00,3.79556656E+5,
575.00,3.69735813E+5,
576.00,3.60906875E+5,
577.00,3.55110781E+5,
578.00,3.44616750E+5,
579.00,3.36542000E+5,
580.00,3.27848938E+5,
581.00,3.17930719E+5,
582.00,3.11987500E+5,
583.00,3.05126906E+5,
584.00,2.96537781E+5,
585.00,2.90303688E+5,
586.00,2.84592656E+5,
587.00,2.78609313E+5,
588.00,2.70093281E+5,
589.00,2.65082375E+5,
590.00,2.58285016E+5,
591.00,2.51407516E+5,
592.00,2.45906250E+5,
593.00,2.38061438E+5,
594.00,2.34991844E+5,
595.00,2.28410391E+5,
596.00,2.23428563E+5,
597.00,2.17088750E+5,
598.00,2.10699391E+5,
599.00,2.05592219E+5,
600.00,2.01244078E+5,
601.00,1.94962266E+5,
602.00,1.89410750E+5,
603.00,1.83499094E+5,
604.00,1.79234516E+5,
605.00,1.76302500E+5,
606.00,1.71182734E+5,
607.00,1.65287406E+5,
608.00,1.63169703E+5,
609.00,1.58281141E+5,
610.00,1.54061250E+5,
611.00,1.50336297E+5,
612.00,1.46553844E+5,
613.00,1.41522359E+5,
614.00,1.39233906E+5,
615.00,1.35144594E+5,
616.00,1.30678273E+5,
617.00,1.27479508E+5,
618.00,1.24319008E+5,
619.00,1.20383164E+5,
620.00,1.16312289E+5,
621.00,1.14026203E+5,
622.00,1.10612625E+5,
623.00,1.09931875E+5,
624.00,1.04662188E+5,
625.00,1.02838023E+5,
626.00,9.83090234E+4,
627.00,9.67701797E+4,
628.00,9.41676406E+4,
629.00,9.25972188E+4,
630.00,8.88726953E+4,
631.00,8.65710078E+4,
632.00,8.53394922E+4,
633.00,8.38920078E+4,
634.00,8.20813047E+4,
635.00,7.89983906E+4,
636.00,7.61967656E+4,
637.00,7.42336016E+4,
638.00,7.14284688E+4,
639.00,7.02256172E+4,
640.00,6.76555234E+4,
641.00,6.74263516E+4,
642.00,6.39684258E+4,
643.00,6.29520352E+4,
644.00,6.15060508E+4,
645.00,6.17351992E+4,
646.00,6.03698008E+4,
647.00,6.12782656E+4,
648.00,5.94411875E+4,
649.00,5.59202930E+4,
650.00,5.23332891E+4,
651.00,4.99544883E+4,
652.00,4.84832773E+4,
653.00,4.65782148E+4,
654.00,4.63910430E+4,
655.00,4.41315625E+4,
656.00,4.33766953E+4,
657.00,4.27636602E+4,
658.00,4.10773711E+4,
659.00,4.03405234E+4,
660.00,3.88188633E+4,
661.00,3.74064453E+4,
662.00,3.73582109E+4,
663.00,3.67873555E+4,
664.00,3.53935508E+4,
665.00,3.47196094E+4,
666.00,3.40734805E+4,
667.00,3.24406152E+4,
668.00,3.27394609E+4,
669.00,3.15263008E+4,
670.00,2.99241289E+4,
671.00,2.99391348E+4,
672.00,2.84648262E+4,
673.00,2.81930293E+4,
674.00,2.74369258E+4,
675.00,2.73602637E+4,
676.00,2.63619453E+4,
677.00,2.50276074E+4,
678.00,2.52640020E+4,
679.00,2.35959805E+4,
680.00,2.07389258E+4,
681.00,2.15517109E+4,
682.00,2.03326602E+4,
683.00,1.92477871E+4,
684.00,1.84808066E+4,
685.00,1.85936660E+4,
686.00,1.83222754E+4,
687.00,1.73913770E+4,
688.00,1.70235371E+4,
689.00,1.63993340E+4,
690.00,1.63349072E+4,
691.00,1.58296299E+4,
692.00,1.58370938E+4,
693.00,1.50789180E+4,
694.00,1.43048916E+4,
695.00,1.32112637E+4,
696.00,1.37035820E+4,
697.00,1.36607881E+4,
698.00,1.34851240E+4,
699.00,1.24824307E+4,
700.00,1.22681992E+4,
